submission_id,QUD,RT,age,animal,comments,condition,education,endTime,experiment_id,gender,item_id,languages,modal,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
2063,She is not a real bat.,23288,32,bat,,intensified,Graduated High School,1625519697332,61,male,12,English,real,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,24,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,1
2063,She is not a hen.,12976,32,hen,,non-intensified,Graduated High School,1625519697332,61,male,37,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,26,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,2
2063,She is not a literal chicken.,15641,32,chicken,,intensified,Graduated High School,1625519697332,61,male,23,English,literal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,45,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,3
2063,She is not a literal cow.,5753,32,cow,,intensified,Graduated High School,1625519697332,61,male,31,English,literal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,70,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,4
2063,He is not a mouse.,6175,32,mouse,,non-intensified,Graduated High School,1625519697332,61,male,25,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,78,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,5
2063,He is not a rat.,6934,32,rat,,non-intensified,Graduated High School,1625519697332,61,male,33,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,9,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,6
2063,He is not a weasel.,6115,32,weasel,,non-intensified,Graduated High School,1625519697332,61,male,41,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,60,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,7
2063,He is not a literal mouse.,7818,32,mouse,,intensified,Graduated High School,1625519697332,61,male,27,English,literal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,73,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,8
2063,She is not a real bee.,9729,32,bee,,intensified,Graduated High School,1625519697332,61,male,20,English,real,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>HARD-WORKING</b> ?,11,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,9
2063,He is not a snake.,7441,32,snake,,non-intensified,Graduated High School,1625519697332,61,male,49,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,100,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,10
2063,He is not an actual rat.,4741,32,rat,,intensified,Graduated High School,1625519697332,61,male,34,English,actual,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,4,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,11
2063,He is not a real lamb.,8453,32,lamb,,intensified,Graduated High School,1625519697332,61,male,4,English,real,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,9,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,12
2063,He is not a literal wolf.,5416,32,wolf,,intensified,Graduated High School,1625519697332,61,male,7,English,literal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,17,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,13
2063,She is not a chicken.,13840,32,chicken,,non-intensified,Graduated High School,1625519697332,61,male,21,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,66,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,14
2063,He is not a wolf.,4445,32,wolf,,non-intensified,Graduated High School,1625519697332,61,male,5,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,0,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,15
2063,He is not a real lion.,4458,32,lion,,intensified,Graduated High School,1625519697332,61,male,16,English,real,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,76,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,16
2063,She is not a bee.,3613,32,bee,,non-intensified,Graduated High School,1625519697332,61,male,17,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>HARD-WORKING</b> ?,13,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,17
2063,He is not a lamb.,5589,32,lamb,,non-intensified,Graduated High School,1625519697332,61,male,1,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,67,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,18
2063,She is not an actual owl.,5928,32,owl,,intensified,Graduated High School,1625519697332,61,male,46,English,actual,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,90,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,19
2063,She is not an owl.,15786,32,owl,,non-intensified,Graduated High School,1625519697332,61,male,45,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,76,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,20
2063,He is not a literal weasel.,4552,32,weasel,,intensified,Graduated High School,1625519697332,61,male,43,English,literal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,32,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,21
2063,He is not an actual snake.,4816,32,snake,,intensified,Graduated High School,1625519697332,61,male,50,English,actual,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,89,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,22
2063,She is not a bat.,3186,32,bat,,non-intensified,Graduated High School,1625519697332,61,male,9,English,non-modal,<b>-</b>,<b>+</b>,60d8b91d4c71f829216f9184,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,77,Mon Jul 05 2021 17:07:33 GMT-0400 (Eastern Daylight Time),1625519253596,7.3956,slider_rating_custom,23
