submission_id,QUD,RT,age,animal,comments,condition,education,endTime,experiment_id,gender,item_id,languages,modal,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
2024,He is a snake.,282860,27,snake,,non-intensified,Higher Degree,1625472594533,62,female,49,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,83,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,1
2024,She is an owl.,2824,27,owl,,non-intensified,Higher Degree,1625472594533,62,female,45,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,85,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,2
2024,She is an actual cow.,4503,27,cow,,intensified,Higher Degree,1625472594533,62,female,30,English,actual,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,20,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,3
2024,She is a bee.,4447,27,bee,,non-intensified,Higher Degree,1625472594533,62,female,17,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>HARD-WORKING</b> ?,61,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,4
2024,He is an actual wolf.,4045,27,wolf,,intensified,Higher Degree,1625472594533,62,female,6,English,actual,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,33,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,5
2024,She is a bat.,2665,27,bat,,non-intensified,Higher Degree,1625472594533,62,female,9,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,25,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,6
2024,He is a real weasel.,3466,27,weasel,,intensified,Higher Degree,1625472594533,62,female,44,English,real,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,62,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,7
2024,He is an actual lamb.,3548,27,lamb,,intensified,Higher Degree,1625472594533,62,female,2,English,actual,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,35,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,8
2024,She is a real hen.,3219,27,hen,,intensified,Higher Degree,1625472594533,62,female,40,English,real,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,22,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,9
2024,She is a literal bat.,8436,27,bat,,intensified,Higher Degree,1625472594533,62,female,11,English,literal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,44,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,10
2024,He is a lion.,2254,27,lion,,non-intensified,Higher Degree,1625472594533,62,female,13,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,78,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,11
2024,She is an actual owl.,2039,27,owl,,intensified,Higher Degree,1625472594533,62,female,46,English,actual,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,90,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,12
2024,He is a real rat.,4662,27,rat,,intensified,Higher Degree,1625472594533,62,female,36,English,real,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,96,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,13
2024,She is a cow.,1863,27,cow,,non-intensified,Higher Degree,1625472594533,62,female,29,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,29,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,14
2024,He is a literal snake.,2335,27,snake,,intensified,Higher Degree,1625472594533,62,female,51,English,literal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,89,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,15
2024,She is a chicken.,3210,27,chicken,,non-intensified,Higher Degree,1625472594533,62,female,21,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,93,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,16
2024,He is a literal lion.,2695,27,lion,,intensified,Higher Degree,1625472594533,62,female,15,English,literal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,91,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,17
2024,He is a weasel.,3363,27,weasel,,non-intensified,Higher Degree,1625472594533,62,female,41,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,33,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,18
2024,She is a literal chicken.,3525,27,chicken,,intensified,Higher Degree,1625472594533,62,female,23,English,literal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,37,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,19
2024,She is a hen.,3132,27,hen,,non-intensified,Higher Degree,1625472594533,62,female,37,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,37,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,20
2024,He is a rat.,2255,27,rat,,non-intensified,Higher Degree,1625472594533,62,female,33,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,96,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,21
2024,He is a real mouse.,2360,27,mouse,,intensified,Higher Degree,1625472594533,62,female,28,English,real,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,98,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,22
2024,He is a lamb.,1876,27,lamb,,non-intensified,Higher Degree,1625472594533,62,female,1,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,37,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,23
2024,He is a wolf.,1597,27,wolf,,non-intensified,Higher Degree,1625472594533,62,female,5,English,non-modal,<b>-</b>,<b>+</b>,60dec1eb1c10fb2875312a22,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,39,Mon Jul 05 2021 09:03:00 GMT+0100 (BST),1625472180035,6.9083,slider_rating_custom,24
