submission_id,QUD,RT,age,animal,comments,condition,education,endTime,experiment_id,gender,item_id,languages,modal,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
2157,He is not a mouse.,9598,29,mouse,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,25,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,0,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,1
2157,She is not a bat.,8426,29,bat,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,9,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,17,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,2
2157,He is not actually a lion.,8791,29,lion,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,14,English,actually,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,34,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,3
2157,She is not actually a bat.,4103,29,bat,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,10,English,actually,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>BLIND</b> ?,18,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,4
2157,He is not a rat.,8687,29,rat,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,33,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,0,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,5
2157,He is not literally a rat.,5599,29,rat,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,35,English,literally,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,0,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,6
2157,He is not literally a weasel.,4577,29,weasel,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,43,English,literally,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,0,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,7
2157,She is not an owl.,5390,29,owl,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,45,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,18,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,8
2157,She is not a chicken.,6367,29,chicken,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,21,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,17,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,9
2157,She is not really a cow.,4956,29,cow,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,32,English,really,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,6,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,10
