submission_id,QUD,RT,age,animal,comments,condition,education,endTime,experiment_id,gender,item_id,languages,modal,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
2196,She is a hen.,15276,50,hen,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,37,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,17,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,1
2196,She is literally a bee.,13652,50,bee,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,19,english,literally,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>HARD-WORKING</b> ?,93,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,2
2196,He is a weasel.,4783,50,weasel,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,41,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,76,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,3
2196,He is really a lamb.,6646,50,lamb,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,4,english,really,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,98,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,4
2196,She is literally a cow.,18518,50,cow,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,31,english,literally,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,36,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,5
2196,He is a snake.,7966,50,snake,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,49,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,73,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,6
2196,She is literally a chicken.,5105,50,chicken,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,23,english,literally,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>COWARDLY</b> ?,73,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,7
2196,He is a rat.,3845,50,rat,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,33,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,96,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,8
2196,He is a lamb.,2677,50,lamb,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,1,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,100,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,9
2196,He is really a lion.,3028,50,lion,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,16,english,really,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,97,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,10
2196,She is actually a hen.,8290,50,hen,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,38,english,actually,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,42,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,11
2196,He is really a wolf.,8873,50,wolf,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,8,english,really,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,34,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,12
2196,He is really a mouse.,3908,50,mouse,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,28,english,really,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,30,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,13
2196,She is a bee.,3030,50,bee,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,17,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>HARD-WORKING</b> ?,100,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,14
2196,He is literally a rat.,3445,50,rat,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,35,english,literally,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>DISGUSTING</b> ?,99,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,15
2196,She is a cow.,3185,50,cow,i enjoy this survey,non-intensified,Higher Degree,1627825845894,65,male,29,english,non-modal,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,64,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,16
2196,He is actually a snake.,2727,50,snake,i enjoy this survey,intensified,Higher Degree,1627825845894,65,male,50,english,actually,<b>-</b>,<b>+</b>,60fe53b2ea8f1ccf6d5c76a0,To what extent do you think the person being talked about is portrayed as ... <br /><b>SNEAKY</b> ?,72,Sun Aug 01 2021 08:37:59 GMT-0500 (Central Daylight Time),1627825079090,12.780066666666666,slider_rating_custom,17
